source_id,type,citation,year,title,source_url_or_identifier,population,exercise_modality,measurement_method,sample_size_or_scope,key_finding_used,uncertainty_and_limits,evidence_class,applicability,verified_this_run
S01,primary_research,"Zourdos MC, Klemp A, Dolan C, et al. J Strength Cond Res",2016,Novel Resistance Training-Specific Rating of Perceived Exertion Scale Measuring Repetitions in Reserve,https://pubmed.ncbi.nlm.nih.gov/26049792/ (PMID 26049792; doi 10.1519/JSC.0000000000001049),29 resistance-trained adults (15 experienced 5.2+/-3.5 y training age; 14 novice 0.4+/-0.6 y),back squat (60/75/90/100% 1RM + 70% 1RM x8),RIR-anchored 0-10 RPE + linear velocity transducer,n=29,RIR-anchored RPE scale validated; inverse velocity-RPE r=-0.88 (experienced) r=-0.77 (novice),young trained squat-only sample; single exercise; single session; correlation not causation,correlation,anchors the app's existing RPE/RIR cue language (R05) as a defensible subjective instrument,Y
S02,primary_research_review,"Helms ER, Cronin J, Storey A, Zourdos MC. Strength Cond J 38(4):42-49",2016,Application of the Repetitions in Reserve-Based Rating of Perceived Exertion Scale for Resistance Training,https://pmc.ncbi.nlm.nih.gov/articles/PMC4961270/ (doi 10.1519/SSC.0000000000000218),n/a (narrative review),resistance training,n/a,review,practical guidance for RIR-based RPE prescription and monitoring,review not primary data; used only for orientation,review,orients scale use; no numeric claim rests on it,Y
S03,primary_research,"Hackett DA, Cobley SP, Davies TB, Michael SW, Halaki M. J Strength Cond Res 31(8):2162-2168",2017,Accuracy in Estimating Repetitions to Failure During Resistance Exercise,https://pubmed.ncbi.nlm.nih.gov/27787474/ (PMID 27787474),81 adults (53 M / 28 F) broad training experience,chest press 70% 1RM and leg press 80% 1RM up to 10x10,estimated reps to failure vs actual failure; per-set reporting,81,ERF error ~1 rep at ARF 0-5; >2 reps at ARF 7-10; chest press more accurate than leg press; experience did not affect accuracy,machine exercises only; error grows far from failure; sex differences on leg press,correlation,sets the noise floor any advisory estimate must respect; supports stratified validation design (06),Y
S04,primary_research,"Paulsen G, Myrholt R, Mentzoni F, Solberg PA. PeerJ 13:e19797",2025,Exercise type training load velocity loss threshold and sets affect the relationship between lifting velocity and perceived repetitions in reserve in strength-trained individuals,https://pmc.ncbi.nlm.nih.gov/articles/PMC12360324/ (doi 10.7717/peerj.19797),strength-trained individuals,squat and other loaded exercises across loads,barbell velocity vs perceived RIR across velocity-loss thresholds,see source; strength-trained cohort,velocity-RIR relationship is moderated by exercise type/load/threshold/set number,equipment-bound measurement; lab conditions; moderation limits generic thresholds,correlation,velocity is not a phone-native capability (07); supports construct separation (01 §6),Y
S05,primary_research_review,"Halperin I, Malleron T, Har-Nir I, Androulakis-Korakakis P, Wolf M, Fisher J, Steele J. Sports Med 52(2):377-390",2022,Accuracy in Predicting Repetitions to Task Failure in Resistance Exercise: A Scoping Review and Exploratory Meta-analysis,https://pubmed.ncbi.nlm.nih.gov/34542869/ (PMID 34542869; doi 10.1007/s40279-021-01559-x),pooled resistance-exercise studies,resistance training,RIR/ERF estimation vs failure tests,meta-analytic pool,estimation accuracy declines with distance from failure,NOT fully extracted this run; pooled values UNRESOLVED; identity verified only,review,context only; no number in this deliverable set rests on it,N-partial
S06,primary_research,"Hackett DA, Selvanayagam VS, Halaki M, Cobley SP. J Funct Morphol Kinesiol 4(3):56",2019,Associations between Perceptual Fatigue and Accuracy of Estimated Repetitions to Failure during Resistance Exercises,https://pubmed.ncbi.nlm.nih.gov/33467371/ (PMID 33467371; doi 10.3390/jfmk4030056),resistance-trained adults (sample size not extracted),resistance exercises,ERF accuracy vs perceived fatigue,not extracted,higher perceptual fatigue associates with poorer estimation accuracy,sample size not verified this run; PubMed-verified identity only,correlation,fatigue is a first-class confounder for validation design (06),Y-identity
S07,primary_research,"Foster C, Florhaug JA, Franklin J, et al. J Strength Cond Res 15(1):109-115",2001,A new approach to monitoring exercise training,https://pubmed.ncbi.nlm.nih.gov/11708692/ (PMID 11708692),adults in cycle exercise and basketball cohorts,steady-state cycle interval cycle basketball,session RPE (CR-10) x duration vs HR-based objective standard,two-part design; subjects across parts,session-RPE load tracked HR-method consistently though absolute scores differed,subjective method; absolute scores differ from HR standard; correlation,correlation,supports a post-session subjective session-RPE prompt (08 O3) not biometric conversion,Y
S08,primary_research,"Tibana RA, de Sousa NMF, Cunha GV, Prestes J, Fett C, Gabbett TJ. Sports 6(3):68",2018,Validity of Session Rating Perceived Exertion Method for Quantifying Internal Training Load during High-Intensity Functional Training,https://pmc.ncbi.nlm.nih.gov/articles/PMC6162408/ (doi 10.3390/sports6030068),16 men recreational CrossFit background,high-intensity functional training,session RPE vs HR-derived internal load,16,session RPE valid for internal load in HIFT,small male single-modality sample,correlation,extends S07 to conditioning-style work; still subjective-only,Y
S09,primary_research,"Martin-Escudero P, Cabanas AM, Dotor-Castilla ML, et al. Bioengineering 10(2):254",2023,Are Activity Wrist-Worn Devices Accurate for Determining Heart Rate during Intense Exercise?,https://pmc.ncbi.nlm.nih.gov/articles/PMC9952291/ (doi 10.3390/bioengineering10020254),healthy adults,intense free-running exercise,wrist PPG vs ECG criterion,validation cohort (see source),wrist HR MAPE up to ~18.66% during intense exercise; error grows with intensity and motion,intense intermittent motion is the worst case for PPG; device-dependent,validation study,per-set HR features unreliable at the outset (04 S4); chest-strap ECG measures HR not effort (01 §7),Y
S10,primary_research,"Kwon Y, Kang KW, Chang JS. J Exerc Rehabil 19(3):163-169",2023,The talk test as a useful tool to monitor aerobic exercise intensity in healthy population,https://pmc.ncbi.nlm.nih.gov/articles/PMC10331140/ (doi 10.12965/jer.2346170.085),healthy populations,aerobic exercise,talk test vs ventilatory/lactate thresholds,review of healthy-population studies,TT status tracks aerobic intensity thresholds,endurance modality; no resistance-set validity,review,subjective cue only; app copy already frames breathing cues as rough guides (R05),Y
